,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
0, Baumanskaia ,80000,13,walk,agency,50,127,5,8,2,50,30,6
1, Kommunarka ,27000,3,transport,owner,0,23,12,15,1,38,17,12
2, Michurinskii prospekt ,150000,5,walk,realtor,0,56,17,24,4,130,70,15
3, Khovrino ,47000,10,walk,realtor,50,748,6,17,2,55,32,9
4, Planernaia ,39000,10,walk,realtor,50,835,8,9,1,33,18,7
5, Planernaia ,35000,15,walk,realtor,50,736,6,9,1,34,17,6
6, Riazanskii prospekt ,40000,5,walk,realtor,50,458,9,12,1,35,20,10
7, VDNKh ,40000,5,transport,realtor,50,363,10,16,1,35,19,10
8, Medvedkovo ,32000,15,walk,realtor,50,481,1,12,1,38,19,7
9, Medvedkovo ,45000,10,walk,realtor,50,271,3,9,2,45,30,6
10, Medvedkovo ,35000,10,walk,realtor,50,238,9,14,1,39,18,10
11, Khovrino ,38000,7,walk,realtor,50,243,6,9,1,33,17,6
12, Perovo ,29000,15,walk,realtor,40,5304,2,5,1,31,17,7
13, Babushkinskaia ,60000,16,walk,agency,70,143,5,5,3,60,38,6
14, Taganskaia ,60000,10,walk,realtor,50,956,3,5,3,75,48,12
15, Domodedovskaia ,60000,5,walk,realtor,40,859,2,9,3,67,46,12
16, Novye Cheremushki ,24000,5,walk,realtor,40,137,2,17,1,39,21,11
17, Preobrazhenskaia ploshchad ,22000,5,walk,realtor,50,75,3,9,1,48,22,11
18, Liublino ,26000,7,walk,realtor,50,69,2,5,1,46,21,12
19, Ulitca 1905 goda ,26000,5,walk,realtor,50,49,6,17,1,48,21,13
20, Novogireevo ,35000,10,transport,realtor,50,42,9,16,1,37,20,10
21, Prazhskaia ,28000,20,walk,realtor,50,64,6,9,1,34,17,8
22, Nekrasovka ,55000,10,walk,realtor,40,1876,12,17,3,80,45,13
23, Pionerskaia ,80000,5,walk,realtor,50,56,7,17,2,62,36,10
24, Skhodnenskaia ,37000,15,walk,realtor,50,93,8,12,1,40,21,9
25, Petrovskii park ,30000,7,transport,realtor,50,150,8,9,1,35,16,9
26, Altufevo ,165000,20,walk,realtor,0,81,2,3,5,270,150,20
27, Novye Cheremushki ,70000,5,walk,agency,50,651,9,17,2,60,32,12
28, Bulvar Rokossovskogo ,80000,20,walk,agency,50,971,9,16,2,47,21,8
29, Sukharevskaia ,185000,5,walk,agency,0,72,7,9,3,79,50,12
30, Sukharevskaia ,185000,5,walk,agency,0,80,8,9,3,76,49,12
31, Nekrasovka ,40000,5,walk,realtor,40,115,10,17,1,41,18,11
32, Izmailovskaia ,45000,15,walk,owner,0,1471,5,5,2,50,30,7
33, Krasnopresnenskaia ,100000,3,walk,realtor,0,2180,5,5,3,74,30,30
34, Vykhino ,43000,10,walk,agency,50,404,5,12,1,37,13,9
35, Vykhino ,45000,15,walk,agency,50,1624,2,12,1,37,19,8
36, Molodezhnaia ,50000,10,walk,agency,50,410,1,5,1,35,17,10
37, Tushinskaia ,65000,5,walk,realtor,50,600,2,17,2,70,36,12
38, Vodnyi stadion ,60000,10,walk,realtor,50,721,8,15,2,64,40,15
39, Planernaia ,45000,10,walk,realtor,50,564,7,12,1,38,19,8
40, VDNKh ,50000,10,walk,realtor,50,428,16,16,1,41,18,8
41, Alekseevskaia ,50000,3,walk,realtor,50,534,5,12,1,33,19,5
42, Sviblovo ,40000,10,walk,realtor,50,580,14,14,2,38,24,6
43, Sviblovo ,38000,15,walk,realtor,50,481,3,5,1,64,64,64
44, Rimskaia ,55999,7,walk,realtor,99,390,6,17,1,40,21,10
45, Piatnitckoe shosse ,30000,23,transport,realtor,60,157,5,5,2,44,34,6
46, Okskaia ,59999,7,walk,realtor,69,132,3,33,1,26,17,5
47, Salarevo ,65000,5,walk,owner,0,3,12,15,3,64,64,64
48, Bulvar Rokossovskogo ,62000,5,walk,owner,0,227,3,9,1,33,19,6
49, Piatnitckoe shosse ,50000,25,transport,realtor,50,164,9,17,3,75,45,10
50, Sviblovo ,35000,6,transport,realtor,50,17,16,16,1,40,20,10
51, Kaluzhskaia ,35000,15,walk,realtor,50,11,6,22,1,34,16,9
52, Botanicheskii sad ,48000,10,walk,owner,0,26,7,16,2,57,33,10
53,No data,40000,0,walk,realtor,0,148,10,13,3,100,55,13
54, Babushkinskaia ,55000,12,walk,realtor,0,19,11,11,1,32,26,5
55, Kantemirovskaia ,43000,15,walk,owner,0,431,5,5,2,45,30,6
56, Bibirevo ,55000,6,transport,realtor,50,26,6,12,2,52,30,9
57, Iasenevo ,35000,12,walk,owner,0,72,4,9,1,33,19,6
58, Oktiabrskoe pole ,120000,7,walk,realtor,100,35,10,14,3,115,70,20
59, Smolenskaia ,120000,7,walk,realtor,0,26,2,12,2,53,33,8
60, Mezhdunarodnaia ,260000,0,walk,realtor,50,143,74,95,1,51,31,20
61, Taganskaia ,60000,15,walk,realtor,50,330,3,5,2,78,30,18
62, Skhodnenskaia ,73000,0,walk,owner,0,236,3,5,2,73,38,13
63, Piatnitckoe shosse ,50000,25,transport,realtor,50,288,9,17,3,87,61,6
64, Kolomenskaia ,45000,15,walk,agency,50,52,5,5,2,44,29,6
65, Ramenki ,50000,5,transport,agency,50,30,10,14,2,45,30,8
66, Dobryninskaia ,75000,3,walk,agency,50,40,4,7,1,40,20,6
67, Vykhino ,45000,7,walk,agency,50,1170,12,17,1,38,16,9
68, Shabolovskaia ,200000,8,walk,realtor,0,38,2,21,3,125,80,10
69, Liublino ,28000,5,walk,realtor,0,158,3,5,2,55,32,12
70, Planernaia ,55000,20,walk,realtor,40,54,10,12,2,46,31,7
71, Akademicheskaia ,70000,14,walk,realtor,30,86,5,5,2,47,32,7
72, Vystavochnaia ,185000,4,walk,owner,0,95,4,11,1,53,14,24
73, Kuntcevskaia ,45000,15,walk,owner,0,115,6,9,1,33,19,7
74, Shelepikha ,105000,20,walk,owner,0,60,5,5,3,75,50,8
75, Altufevo ,37000,10,walk,realtor,30,46,7,12,1,38,21,8
76, Shchelkovskaia ,47000,12,walk,realtor,50,61,4,14,1,38,21,10
77, Okhotnyi riad ,200000,8,walk,realtor,0,61,10,13,2,70,57,12
78, Skhodnenskaia ,26000,14,walk,realtor,50,120,4,9,1,37,10,7
79, Aviamotornaia ,65000,2,walk,realtor,30,93,3,5,3,75,50,8
80, Rasskazovka ,45000,15,walk,realtor,31,74,22,22,1,40,23,9
81, Altufevo ,50000,15,transport,owner,0,89,17,17,2,64,64,64
82, Teplyi Stan ,78000,15,walk,owner,0,93,8,16,1,64,64,64
83, Kommunarka ,35000,0,walk,agency,100,8,5,12,1,35,17,10
84, Lesoparkovaia ,28000,0,walk,agency,100,4,2,12,1,39,20,9
85, Sviblovo ,45000,0,walk,agency,50,14,11,24,1,44,20,11
86, Prazhskaia ,55000,0,walk,agency,100,8,7,9,2,45,30,7
87, Preobrazhenskaia ploshchad ,38000,0,walk,agency,100,5,2,9,1,36,20,7
88, Babushkinskaia ,50000,0,walk,agency,100,7,2,9,2,45,29,8
89, VDNKh ,45000,0,walk,agency,100,15,12,19,1,38,20,10
90, Skhodnenskaia ,40000,0,walk,agency,100,23,3,5,2,41,26,6
91, Strogino ,60000,0,walk,agency,100,18,19,20,1,55,20,16
92,No data,60000,0,walk,agency,80,28,13,14,2,55,33,7
93, Strogino ,50000,0,walk,agency,80,27,19,24,2,45,23,6
94, Tekstilshchiki ,43000,0,walk,agency,50,28,1,5,2,45,30,8
95, Bibirevo ,50000,0,walk,agency,100,15,4,12,2,53,39,10
96, Akademicheskaia ,47000,0,walk,agency,50,10,1,5,1,33,20,6
97, Medvedkovo ,35000,0,walk,agency,100,44,8,9,2,45,29,6
98, Ulitca Akademika Iangelia ,55000,0,walk,agency,100,33,2,9,3,66,40,6
99, Kommunarka ,38000,0,walk,agency,100,38,2,9,2,55,34,11
100, Pervomaiskaia ,40000,0,walk,agency,100,33,10,16,2,52,33,9
101, Alma-Atinskaia ,33000,0,walk,agency,100,25,10,14,1,40,20,8
102, Nekrasovka ,65000,0,walk,agency,100,35,6,19,3,62,44,8
103,No data,73000,0,walk,agency,40,32,8,8,2,3,51,9
104, Timiriazevskaia ,38000,0,walk,agency,100,26,5,9,1,33,19,6
105, Shosse Entuziastov ,40000,0,walk,agency,100,14,11,12,1,36,20,10
106,No data,37000,0,walk,agency,100,18,1,9,1,35,19,6
107, Strogino ,60000,0,walk,agency,50,46,13,26,3,80,45,10
108, Liublino ,130000,0,walk,agency,60,79,7,19,3,82,54,13
109, Novokuznetckaia ,200000,0,walk,agency,50,79,2,8,2,52,26,9
110, Vodnyi stadion ,100000,0,walk,agency,20,81,8,26,2,70,33,30
111, Lukhmanovskaia ,50000,0,walk,agency,0,13,13,24,1,48,20,10
112, Preobrazhenskaia ploshchad ,50000,0,walk,agency,100,167,4,9,2,38,27,6
113,No data,75000,0,walk,agency,100,24,17,26,2,75,37,17
114, Seligerskaia ,50000,0,walk,agency,100,13,27,33,2,42,32,8
115, Bratislavskaia ,40000,0,walk,agency,100,17,7,12,1,39,19,9
116, Sviblovo ,35000,0,walk,agency,100,29,2,14,1,34,17,6
117, Nakhimovskii prospekt ,70000,0,walk,agency,80,38,2,11,2,80,34,16
118, Vykhino ,35000,0,walk,agency,100,570,6,9,3,68,49,9
119, Okhotnyi riad ,140000,0,walk,agency,60,23,4,8,2,58,32,8
120,No data,60000,0,walk,agency,100,200,4,5,3,53,41,6
121, Planernaia ,40000,0,walk,agency,80,76,3,5,2,46,35,6
122,No data,125000,0,walk,agency,30,21,11,16,2,57,38,6
123, Baumanskaia ,150000,0,walk,agency,20,43,7,12,3,95,65,10
124, Dinamo ,45000,0,walk,agency,100,5,2,5,1,32,18,5
125, Bratislavskaia ,40000,0,walk,agency,100,77,13,17,2,70,38,12
126,No data,33000,0,walk,agency,100,12,3,5,1,30,19,5
127, Filatov Lug ,15000,0,walk,agency,100,44,7,7,1,45,20,10
128, Shelepikha ,80000,0,walk,agency,50,77,6,46,2,80,40,10
129, Pervomaiskaia ,30000,0,walk,agency,100,6,5,9,1,36,16,7
130, Paveletckaia ,38000,0,walk,agency,100,22,1,5,1,34,17,8
131, Nekrasovka ,50000,0,walk,agency,100,16,3,17,2,55,28,10
132, Studencheskaia ,65000,0,walk,agency,100,7,4,8,2,50,33,8
133, Marino ,80000,0,walk,agency,80,13,1,12,3,82,49,9
134, Nekrasovka ,35000,0,walk,agency,100,29,12,20,2,56,34,10
135, Dubrovka ,40000,0,walk,agency,100,6,12,17,1,38,21,9
136, Altufevo ,35000,0,walk,agency,100,12,8,9,1,39,21,9
137, Dmitrovskaia ,55000,0,walk,agency,100,20,3,5,2,48,32,7
138,No data,42000,0,walk,agency,60,33,7,12,2,58,32,12
139, Piatnitckoe shosse ,40000,40,transport,agency,60,15,3,17,1,41,20,10
140, Novokuznetckaia ,270000,0,transport,agency,0,33,6,8,2,51,26,6
141, Buninskaia Alleia ,2700,7,transport,agency,0,4,15,22,2,42,18,6
142, Novogireevo ,20000,7,walk,agency,50,16,8,16,1,5,21,10
143, Lermontovskii prospekt ,24000,7,walk,agency,50,9,7,10,1,64,64,64
144, Zhulebino ,20000,10,walk,agency,50,9,6,12,1,64,64,64
145, Lermontovskii prospekt ,22000,6,walk,agency,50,7,6,14,1,64,64,64
146, Lermontovskii prospekt ,20000,4,walk,agency,50,9,6,14,1,64,64,64
147, Partizanskaia ,24500,15,walk,agency,50,23,12,15,1,42,30,8
148, Buninskaia Alleia ,14000,7,transport,agency,50,34,5,9,1,36,18,7
149, Slavianskii bulvar ,24000,3,transport,agency,50,43,20,25,1,64,64,64
150, Krestianskaia zastava ,27000,10,walk,agency,50,26,11,12,1,64,64,64
151, Shabolovskaia ,26500,5,walk,agency,50,21,9,12,1,46,26,8
152, Narodnoe Opolchenie ,25000,16,walk,agency,50,23,16,16,1,64,64,64
153, Buninskaia Alleia ,14000,8,transport,agency,50,56,8,10,1,39,18,7
154, Piatnitckoe shosse ,14000,23,transport,agency,50,121,4,15,1,39,20,10
155, Marino ,20000,6,walk,agency,50,81,5,14,1,39,20,10
156, Ulitca Akademika Iangelia ,20000,6,walk,agency,50,64,4,12,1,39,20,10
157, Teplyi Stan ,20000,6,walk,agency,50,87,5,12,1,39,20,10
158, Ulitca Skobelevskaia ,22000,5,walk,agency,50,51,8,17,1,39,20,10
159, Borovskoe shosse ,22000,19,walk,agency,50,26,4,9,1,39,20,10
160, Iuzhnaia ,24000,5,walk,agency,50,67,6,9,1,39,20,10
161, Govorovo ,20000,4,walk,agency,50,63,7,15,1,39,20,10
162, Teplyi Stan ,16000,6,transport,agency,50,75,5,16,1,39,20,10
163, Oktiabrskoe pole ,24000,5,walk,agency,50,47,12,27,1,39,20,10
164, Kuntcevskaia ,20000,4,walk,agency,50,57,6,22,1,39,20,10
165, Shchelkovskaia ,20000,5,walk,agency,50,68,4,22,1,39,20,10
166, Salarevo ,14000,6,transport,agency,50,47,17,25,1,41,20,9
167, Bulvar Rokossovskogo ,20000,6,walk,agency,50,77,14,31,1,39,20,10
168, Kommunarka ,14000,17,walk,agency,50,137,9,17,1,39,19,8
169, Novoperedelkino ,12000,20,transport,agency,50,43,4,14,1,39,20,8
170, Perovo ,22000,5,walk,agency,50,54,4,9,1,39,20,10
171, Vykhino ,20000,7,walk,agency,50,59,4,17,1,40,20,10
172, Piatnitckoe shosse ,14000,23,transport,agency,50,100,4,14,1,39,20,10
173, Novoperedelkino ,12000,19,transport,agency,50,56,4,9,1,39,20,7
174, Riazanskii prospekt ,20000,5,walk,agency,50,150,4,12,1,39,20,10
175, Liublino ,20000,5,walk,agency,50,92,6,14,1,39,20,10
176, Zhulebino ,16000,8,walk,agency,50,123,3,4,1,39,17,6
177, Buninskaia Alleia ,14000,8,transport,agency,50,92,6,17,1,38,18,6
178, Buninskaia Alleia ,18000,10,transport,agency,50,83,6,9,1,39,20,6
179, Dubrovka ,22000,11,walk,owner,0,182,10,16,1,43,30,13
180, Nagornaia ,22000,6,walk,owner,0,234,5,9,1,41,30,11
181, Solntcevo ,21000,32,transport,owner,0,106,5,9,1,42,30,12
182, Ulitca Dmitrievskogo ,21000,6,walk,owner,0,158,7,12,1,45,30,15
183, Novokosino ,22000,6,walk,owner,0,246,9,17,1,45,30,15
184, Altufevo ,20000,5,walk,owner,0,334,7,12,1,43,30,13
185, Medvedkovo ,21000,5,walk,owner,0,196,7,14,1,42,30,12
186,No data,20000,0,walk,owner,0,182,4,9,1,43,30,13
187, Bulvar Rokossovskogo ,22000,6,walk,owner,0,193,3,5,1,43,30,13
188,No data,21000,0,walk,owner,0,227,7,9,1,42,30,12
189,No data,18000,0,walk,owner,0,144,9,17,1,45,30,15
190,No data,18000,0,walk,owner,0,69,9,16,1,42,30,12
191,No data,17000,0,walk,owner,0,69,10,17,1,45,30,15
192,No data,17000,0,walk,owner,0,144,4,10,1,45,30,15
193,No data,18000,0,walk,owner,0,119,5,12,1,42,30,12
194, Turgenevskaia ,100000,19,walk,owner,0,18,3,3,1,64,64,64
195, Solntcevo ,95000,9,walk,owner,0,31,2,14,3,85,55,18
196, Elektrozavodskaia ,43000,0,walk,agency,0,5,0,0,1,33,14,6
197, Kievskaia ,130000,0,walk,agency,0,5,0,0,1,44,24,5
198, Buninskaia Alleia ,50000,19,transport,agency,0,13,0,0,3,72,60,12
199, Profsoiuznaia ,40000,0,transport,owner,0,49,2,5,2,45,38,6
200, Elektrozavodskaia ,75000,0,transport,agency,0,31,3,12,3,64,64,64
201, Marino ,95000,14,walk,agency,0,28,2,17,4,112,69,14
202, Ulitca Skobelevskaia ,60000,0,walk,agency,0,39,18,24,3,78,60,10
203, Bratislavskaia ,28000,20,walk,agency,0,88,1,5,2,46,35,6
204, Alma-Atinskaia ,50000,5,transport,agency,0,39,2,4,3,69,48,9
205, Marino ,62000,0,transport,owner,0,35,0,0,2,54,42,10
206, Profsoiuznaia ,110000,0,transport,agency,0,58,4,8,3,64,64,64
207, Rasskazovka ,40000,0,transport,agency,0,36,17,17,1,40,20,10
208,No data,35000,0,transport,agency,0,49,12,12,1,32,18,8
209, Minskaia ,90000,0,transport,agency,0,52,0,0,3,64,64,64
210, Kakhovskaia ,60000,0,transport,agency,0,45,0,0,2,44,30,7
211, Solntcevo ,50000,0,transport,agency,0,46,15,17,1,40,20,8
212, Altufevo ,50000,3,walk,agency,0,7,14,22,1,28,20,10
213, Borisovo ,53000,10,walk,owner,0,14,14,17,2,60,34,10
214, Domodedovskaia ,38000,15,walk,agency,60,10,6,12,1,30,12,6
215, Babushkinskaia ,100000,10,walk,owner,0,4,3,27,+,64,64,64
216, Savelovskaia ,70000,10,walk,owner,0,36,2,6,1,64,64,64
217,No data,45000,0,walk,agency,0,19,2,4,2,74,35,13
218, VDNKh ,28000,12,walk,agency,50,39,11,12,2,53,32,13
219, Liublino ,28000,11,walk,agency,50,22,15,16,2,52,32,12
220, Solntcevo ,24000,5,walk,agency,50,14,15,16,1,42,22,10
221, Kotelniki ,24000,10,walk,agency,50,15,16,17,1,42,22,12
222, Lomonosovskii prospekt ,24000,6,walk,agency,50,14,16,17,1,40,20,10
223, Teplyi Stan ,20000,6,transport,agency,50,131,5,13,1,38,19,6
224, Marino ,25000,13,walk,agency,50,108,8,17,1,40,21,6
225, Salarevo ,24000,6,transport,agency,0,23,4,17,2,69,30,15
226, Shelepikha ,24500,14,walk,agency,49,74,20,24,1,38,20,6
227, Tekstilshchiki ,26000,12,walk,agency,46,42,13,16,1,8,19,7
228, Aeroport ,23500,7,walk,agency,51,82,9,14,1,37,25,10
229, Altufevo ,24000,12,walk,agency,50,45,10,12,1,43,24,8
230, Buninskaia Alleia ,14000,7,transport,agency,50,22,5,17,1,42,23,10
231, Piatnitckoe shosse ,15000,23,transport,agency,50,63,6,15,1,41,23,9
232, Novoperedelkino ,12000,21,transport,agency,50,24,10,17,1,41,22,10
233, Salarevo ,14000,5,transport,agency,50,96,4,17,1,41,19,11
234,No data,14000,0,transport,agency,50,92,6,17,1,40,18,11
235,No data,24000,0,transport,agency,50,56,5,15,1,33,14,9
236, Shelepikha ,58000,2,walk,owner,0,14,5,5,2,44,28,6
237, Marina Roshcha ,115000,13,walk,agency,0,9,2,3,2,52,30,10
238, Tekstilshchiki ,40000,12,walk,agency,50,25,3,14,1,39,21,9
239, Borisovo ,35000,5,walk,agency,50,26,14,22,1,39,20,10
240, Kurskaia ,75000,14,walk,agency,50,31,4,5,1,45,20,10
241, Prospekt Mira ,85000,1,walk,agency,30,41,8,9,2,7,35,10
242, Kantemirovskaia ,55000,3,walk,agency,40,34,8,15,1,64,64,64
243, Alekseevskaia ,45000,13,walk,agency,60,3,8,12,2,45,28,6
244, Ulitca Akademika Iangelia ,38000,16,walk,agency,50,34,8,12,2,46,31,7
245, Bratislavskaia ,38000,4,walk,agency,50,10,2,17,1,38,20,8
246, Smolenskaia ,100000,8,walk,agency,0,4,9,9,2,46,25,12
247,No data,58000,0,walk,agency,50,35,2,5,3,64,64,64
248, Begovaia ,50000,8,walk,agency,100,26,15,16,1,64,64,64
249, Ulitca Akademika Iangelia ,45000,15,walk,agency,50,15,9,9,3,60,44,7
250, Proletarskaia ,60000,15,walk,agency,50,33,6,12,3,63,44,7
251,No data,35000,0,walk,agency,50,26,3,5,2,44,28,6
252, Barrikadnaia ,85000,12,walk,agency,0,47,5,15,2,64,64,64
253, Bratislavskaia ,50000,8,walk,agency,50,40,9,14,2,58,33,9
254, Khovrino ,32000,17,walk,agency,50,49,9,16,1,64,64,64
255, Fili ,99000,16,walk,developer,50,13,2,25,2,50,33,8
256, Kievskaia ,127500,5,walk,agency,0,29,2,9,2,64,64,64
257,No data,45000,0,walk,developer,50,12,4,18,1,40,20,10
258,No data,60000,0,walk,developer,50,33,1,14,1,38,19,9
259, Novokuznetckaia ,290000,11,walk,agency,0,58,5,8,2,64,64,64
260, Petrovskii park ,100000,15,walk,developer,50,39,7,7,3,100,58,10
261, Ramenki ,130000,15,walk,developer,0,12,6,21,2,64,64,64
262, Miakinino ,44000,36,transport,agency,0,17,15,15,1,64,64,64
263, Salarevo ,35000,6,transport,developer,0,10,9,17,1,38,19,8
264, Seligerskaia ,60000,12,walk,developer,50,26,1,23,1,35,19,8
265,No data,65000,0,walk,developer,50,6,4,5,3,65,48,7
266, Ulitca 1905 goda ,63000,15,walk,owner,0,25,8,12,+,64,64,64
267, Preobrazhenskaia ploshchad ,50000,13,walk,developer,50,1,9,9,2,40,28,7
268, Avtozavodskaia ,43000,8,walk,developer,50,12,11,14,1,39,20,9
269, Trubnaia ,110000,9,walk,owner,0,13,2,3,2,52,30,20
270, Seligerskaia ,61000,18,walk,developer,50,26,13,17,3,75,53,10
271, Prospekt Vernadskogo ,50000,7,walk,owner,0,59,8,10,1,64,64,64
272, Mitino ,47000,15,walk,developer,50,21,8,14,1,39,20,9
273, Shabolovskaia ,45000,8,walk,developer,78,3,6,9,2,64,64,64
274, Vodnyi stadion ,45000,16,transport,developer,50,27,12,17,1,40,20,10
275, Mezhdunarodnaia ,200000,2,walk,developer,0,317,17,85,2,64,64,64
276,No data,60000,0,walk,owner,0,9,14,16,2,50,30,11
277, Novogireevo ,45000,19,walk,developer,50,32,2,9,2,47,32,7
278, Seligerskaia ,65000,13,walk,developer,50,33,19,22,1,38,20,10
279, Fili ,100000,9,walk,developer,50,30,20,20,2,60,36,9
280, Ulitca 800-letiia Moskvy ,38000,4,transport,developer,50,3,2,16,1,38,20,9
281, Barrikadnaia ,250000,14,walk,developer,0,31,1,9,2,64,64,64
282,No data,25000,0,walk,developer,0,9,5,5,1,37,19,10
283, Mezhdunarodnaia ,210000,6,walk,owner,0,12,47,77,2,64,64,64
284, Sportivnaia ,135000,4,walk,developer,50,29,3,8,3,80,38,28
285, Vodnyi stadion ,30260,5,walk,agency,0,19,1,5,1,64,64,64
286, Akademicheskaia ,100000,13,walk,developer,50,4,6,17,3,79,55,9
287, Vodnyi stadion ,70000,9,walk,developer,40,71,7,26,2,64,64,64
288, Mendeleevskaia ,110000,3,walk,developer,50,37,2,5,2,64,64,64
289, Bibirevo ,45000,16,walk,developer,50,32,4,12,2,53,30,8
290, Rasskazovka ,60000,13,transport,developer,50,12,5,9,2,60,36,9
291, Perovo ,50000,10,walk,developer,50,31,8,9,1,33,18,7
292, Chertanovskaia ,42000,4,walk,developer,60,56,7,17,1,64,64,64
293, Bulvar Rokossovskogo ,92000,7,walk,agency,0,5,6,30,2,64,64,64
294, Seligerskaia ,53000,10,transport,developer,50,54,6,21,1,32,18,8
295, Ulitca 1905 goda ,50000,12,walk,developer,50,2,2,44,1,21,14,4
296,No data,26880,0,walk,agency,0,27,3,11,1,64,64,64
297,No data,110000,0,walk,developer,50,48,2,19,3,90,50,10
298, Preobrazhenskaia ploshchad ,130000,8,walk,developer,50,37,8,13,2,80,40,11
299, Kommunarka ,40000,9,walk,agency,0,16,6,14,1,64,64,64
300, Preobrazhenskaia ploshchad ,65000,15,walk,developer,80,11,6,14,2,49,30,7
301, Planernaia ,42000,28,transport,developer,50,54,3,11,1,46,21,12
302, Preobrazhenskaia ploshchad ,50000,17,walk,developer,50,18,7,9,1,64,64,64
303, Ziablikovo ,65000,19,walk,developer,50,19,1,25,2,55,35,10
304, Paveletckaia ,431500,7,walk,agency,0,23,5,7,3,64,64,64
305, Avtozavodskaia ,68500,6,walk,agency,0,15,1,5,2,64,64,64
306, Solntcevo ,60000,10,walk,developer,50,6,13,19,2,60,36,9
307, Rizhskaia ,72000,4,walk,developer,100,19,4,9,2,2,30,10
308,No data,50000,0,walk,owner,0,47,2,22,1,35,11,12
309,No data,50000,0,walk,developer,0,20,2,5,2,43,29,6
310,No data,60000,0,walk,developer,50,16,2,16,1,43,21,10
311, Novogireevo ,45000,4,walk,developer,50,17,4,14,2,64,64,64
312, Varshavskaia ,57500,12,walk,agency,0,26,3,9,2,64,64,64
313, Krylatskoe ,60000,20,walk,developer,50,17,9,17,1,39,20,10
314, Smolenskaia ,130000,11,walk,developer,0,44,12,16,3,64,64,64
315, Skhodnenskaia ,48000,10,walk,developer,50,32,12,12,1,40,20,10
316, Liublino ,110000,12,walk,developer,100,23,2,22,4,120,100,12
317, Buninskaia Alleia ,45000,4,transport,developer,70,6,3,18,2,56,31,12
318, Mezhdunarodnaia ,300000,3,walk,developer,0,208,51,85,2,64,64,64
319,No data,65000,0,walk,developer,50,16,4,9,3,64,64,64
320,No data,45000,0,walk,developer,50,2,4,5,2,45,32,7
321,No data,190000,0,walk,owner,0,10,3,16,5,158,92,18
322, Annino ,65000,12,walk,developer,50,55,5,25,1,64,64,64
323, Varshavskaia ,50000,12,walk,developer,50,24,15,22,1,40,20,10
324,No data,46000,0,walk,developer,0,7,20,22,2,60,35,10
325, Buninskaia Alleia ,30000,15,transport,developer,50,12,6,18,1,28,19,6
326, Pervomaiskaia ,65000,11,walk,developer,50,11,4,9,3,65,48,7
327, Shosse Entuziastov ,50000,16,walk,owner,0,6,2,9,1,64,64,64
328,No data,65000,0,walk,developer,50,23,1,5,3,61,48,7
329, Nekrasovka ,50000,4,walk,developer,50,5,18,19,2,64,35,10
330, Shelepikha ,295000,5,walk,developer,0,30,26,53,3,64,64,64
331, Tcaritcyno ,50000,10,walk,developer,50,21,1,5,2,45,31,6
332, Kolomenskaia ,60000,14,transport,developer,40,31,9,14,2,55,35,9
333, Seligerskaia ,65000,13,walk,agency,0,11,7,23,1,64,64,64
334,No data,32510,0,walk,agency,0,39,3,17,1,64,64,64
335,No data,140000,0,walk,owner,0,3,5,20,3,64,64,64
336,No data,42000,0,walk,developer,50,6,4,33,1,36,19,8
337, Ulitca Skobelevskaia ,45000,17,walk,developer,50,45,18,23,1,40,20,10
338, Buninskaia Alleia ,37000,8,walk,agency,50,11,7,14,2,53,33,9
339, Nekrasovka ,38000,10,walk,developer,50,20,12,17,1,38,20,10
340, Perovo ,65000,12,walk,agency,0,16,4,5,3,64,64,64
341,No data,65000,0,walk,developer,50,19,7,16,2,40,29,6
342, Molodezhnaia ,50000,5,transport,owner,0,7,14,16,1,46,30,10
343, Olkhovaia ,95000,19,walk,developer,40,28,7,8,2,64,64,64
344, Barrikadnaia ,130000,4,walk,owner,0,86,5,31,2,76,48,12
345, Voikovskaia ,45000,12,walk,developer,50,7,14,14,1,36,18,9
346, Kitai-gorod ,260000,16,walk,developer,50,23,5,33,3,64,64,64
347, Sokolniki ,250000,11,walk,developer,0,33,10,11,3,64,64,64
348, Novogireevo ,38000,16,transport,developer,50,35,6,14,2,50,36,10
349, Dmitrovskaia ,60000,10,walk,developer,50,16,6,8,1,36,19,8
350, Paveletckaia ,60000,7,walk,owner,0,45,6,9,2,45,36,5
351,No data,110000,0,walk,developer,50,5,6,16,2,76,38,12
352, Dubrovka ,98000,6,walk,owner,0,24,9,9,2,80,53,26
353,No data,60000,0,walk,developer,50,26,7,14,2,66,36,10
354,No data,45000,0,walk,owner,0,11,1,12,2,48,33,7
355,No data,62000,0,walk,agency,0,9,8,17,2,64,64,64
356, Pervomaiskaia ,74000,11,walk,agency,0,26,1,5,3,64,64,64
357, Rasskazovka ,40000,14,transport,developer,50,30,8,17,1,45,21,10
358, Okskaia ,40000,5,walk,developer,50,32,3,5,1,33,18,7
359, Proletarskaia ,92358,5,walk,agency,0,38,11,12,3,64,64,64
360, Iugo-Zapadnaia ,49000,12,walk,developer,50,10,4,17,1,37,19,9
361, Ulitca 800-letiia Moskvy ,40000,4,transport,developer,50,5,9,16,1,46,22,11
362, Mitino ,48000,6,walk,developer,50,27,5,17,1,64,64,64
363, Aviamotornaia ,40000,18,walk,developer,60,33,4,12,1,64,64,64
364, Lefortovo ,53000,6,walk,developer,0,20,2,2,1,64,64,64
