,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
1238, Studencheskaia ,60000,6,walk,agency,50,11,5,8,2,50,30,10
1239,No data,33000,0,walk,agency,80,12,14,14,2,40,25,7
1240, Petrovsko-Razumovskaia ,58000,14,walk,agency,100,4,10,22,2,60,36,9
1241, Profsoiuznaia ,40000,15,walk,agency,50,30,7,9,1,33,21,6
1242, Buninskaia Alleia ,38000,2,transport,agency,70,8,9,16,1,40,20,10
1243, Varshavskaia ,33000,12,walk,agency,70,21,4,9,1,35,18,7
1244,No data,32000,0,walk,agency,70,19,1,12,1,40,20,10
1245, Domodedovskaia ,32000,21,transport,agency,70,29,9,24,1,38,18,12
1246, Bibirevo ,40000,15,walk,agency,70,18,9,16,1,40,20,10
1247, Altufevo ,39000,8,walk,agency,50,19,2,22,1,40,20,10
1248, Babushkinskaia ,45000,8,walk,agency,70,10,6,9,2,42,28,6
1249,No data,30000,0,walk,agency,100,15,6,9,1,34,19,7
1250, Petrovskii park ,70000,10,walk,agency,50,7,3,5,3,82,52,8
1251, Profsoiuznaia ,36000,16,walk,agency,70,17,1,5,1,32,18,6
1252, Tekstilshchiki ,50000,7,walk,agency,50,25,4,5,2,43,35,6
1253, Buninskaia Alleia ,30000,14,walk,agency,50,16,6,12,1,39,19,8
1254,No data,40000,0,walk,agency,45,32,1,5,1,33,20,6
1255, Beliaevo ,40000,12,walk,agency,60,22,11,12,1,35,22,10
1256,No data,35000,0,walk,agency,60,5,5,14,1,40,21,9
1257, Kantemirovskaia ,60000,14,walk,agency,45,21,20,20,2,69,34,12
1258, Tulskaia ,70000,12,walk,agency,50,39,6,10,2,65,36,10
1259,No data,32000,0,walk,agency,70,8,8,9,1,35,20,9
1260, Fili ,128000,17,walk,agency,50,24,8,31,3,70,49,7
1261, Voikovskaia ,70000,12,walk,agency,70,13,13,14,1,45,22,11
1262, Ulitca Akademika Iangelia ,42000,9,walk,agency,70,17,4,25,1,64,64,64
1263, Butyrskaia ,47000,13,walk,agency,0,26,7,12,1,36,20,10
1264, Chistye prudy ,144000,9,walk,agency,50,34,1,5,3,72,53,8
1265,No data,140000,0,walk,agency,0,16,3,10,3,98,62,10
1266, Petrovskii park ,63000,12,walk,agency,50,24,4,5,2,48,36,6
1267,No data,43000,0,walk,agency,80,22,12,17,1,40,20,9
1268, Tulskaia ,50000,12,walk,agency,70,22,4,5,2,43,27,7
1269, Beliaevo ,53000,13,walk,agency,60,28,5,5,2,46,28,6
1270, Lukhmanovskaia ,33000,12,transport,agency,70,27,12,24,1,42,20,12
1271, Kievskaia ,99000,9,walk,agency,30,5,5,14,3,78,46,10
1272, Alma-Atinskaia ,30000,14,walk,agency,70,11,11,14,1,38,21,9
1273, Lomonosovskii prospekt ,70000,7,walk,agency,60,8,4,8,3,68,47,8
1274, Dostoevskaia ,65000,9,walk,agency,100,12,4,5,1,64,64,64
1275, Miakinino ,42000,14,walk,agency,100,0,9,12,1,38,20,8
1276, Iuzhnaia ,50000,4,walk,agency,25,26,3,17,2,51,30,9
1277, Krasnopresnenskaia ,65000,12,walk,agency,70,9,4,5,3,80,49,10
1278, Prazhskaia ,40000,9,walk,agency,100,12,15,17,1,40,20,9
1279,No data,60000,0,walk,agency,25,21,11,16,2,60,36,10
1280,No data,67000,0,walk,agency,50,19,16,17,2,52,36,9
1281, Olkhovaia ,42000,16,walk,agency,50,28,3,17,1,43,22,10
1282, Volzhskaia ,32000,12,walk,agency,80,14,3,5,1,33,16,6
1283, Bratislavskaia ,60000,12,transport,agency,50,12,6,14,2,68,38,16
1284,No data,45000,0,transport,agency,50,7,1,3,3,65,46,9
1285, Rasskazovka ,50000,13,transport,agency,0,17,2,9,1,43,20,12
1286, Shosse Entuziastov ,53000,7,walk,agency,50,20,2,5,2,55,37,9
1287, Oktiabrskaia ,72000,9,walk,agency,35,36,4,10,2,47,33,7
1288, Perovo ,60000,19,walk,agency,70,15,5,14,2,62,35,10
1289, Piatnitckoe shosse ,34000,15,walk,agency,80,13,14,14,1,40,20,8
1290, Novogireevo ,45000,21,walk,agency,80,14,5,9,3,54,38,6
1291,No data,70000,0,walk,agency,60,3,10,27,3,60,36,12
1292, Kievskaia ,65000,2,walk,agency,50,2,7,9,1,35,17,9
1293, Buninskaia Alleia ,38000,5,transport,agency,100,6,10,18,1,43,12,23
1294, Fili ,70000,16,walk,agency,60,28,14,16,1,30,16,4
1295, Seligerskaia ,110000,12,transport,agency,0,26,24,24,3,90,52,13
1296, Maiakovskaia ,95000,3,walk,agency,0,27,5,5,2,50,31,12
1297,No data,34000,0,walk,agency,50,27,3,9,1,35,21,6
1298,No data,60000,0,walk,agency,80,10,4,10,3,95,50,10
1299, Petrovsko-Razumovskaia ,30000,13,walk,agency,70,17,9,14,1,64,64,64
1300, Verkhnie Likhobory ,39000,5,walk,agency,60,20,9,16,1,40,17,11
1301, Rasskazovka ,40000,18,walk,agency,60,8,3,9,1,64,64,64
1302,No data,107000,0,walk,agency,30,23,3,7,3,96,57,11
1303, Sevastopolskaia ,43000,6,walk,agency,50,29,5,5,1,30,18,6
1304, Spartak ,70000,10,walk,agency,0,32,15,19,+,38,16,10
1305,No data,48000,0,walk,agency,50,39,5,12,3,65,42,7
1306, Buninskaia Alleia ,30000,9,walk,agency,60,21,6,10,1,35,18,9
1307, Park kultury ,60000,9,walk,agency,50,23,1,3,3,64,64,64
1308,No data,47000,0,walk,agency,40,15,1,9,1,32,21,6
1309, Akademicheskaia ,69000,11,walk,agency,50,29,12,14,2,52,35,8
1310,No data,38000,0,walk,agency,60,34,4,5,2,44,24,6
1311, Vodnyi stadion ,44000,14,transport,agency,60,37,3,28,1,64,64,64
1312, Narodnoe Opolchenie ,44000,19,walk,agency,50,44,3,5,2,45,32,6
1313,No data,50000,0,walk,agency,50,21,12,12,2,45,30,8
1314, Spartak ,140000,9,walk,agency,0,37,19,22,+,95,56,16
1315, Sviblovo ,130000,9,transport,agency,30,33,2,25,4,135,79,12
1316, Fili ,100000,21,walk,agency,50,6,24,29,2,42,30,9
1317, Paveletckaia ,100000,6,walk,agency,0,26,8,16,2,65,37,15
1318, Oktiabrskoe pole ,48000,16,walk,agency,50,35,16,16,2,64,64,64
1319, Profsoiuznaia ,70000,11,walk,agency,50,2,5,5,3,80,52,14
1320, Beliaevo ,47000,7,walk,agency,80,23,3,5,1,30,16,6
1321, Iuzhnaia ,70000,4,walk,agency,30,29,12,17,2,60,36,10
1322, Rizhskaia ,52000,8,walk,agency,30,31,9,9,1,34,18,9
1323, Michurinskii prospekt ,67000,9,walk,agency,0,19,4,23,1,52,21,16
1324, Volzhskaia ,60000,9,walk,agency,0,25,6,9,2,68,34,7
1325, Studencheskaia ,100000,9,walk,agency,30,28,7,8,2,55,34,5
1326, Ramenki ,50000,14,walk,agency,50,30,1,20,1,3,13,3
1327, Babushkinskaia ,37000,15,walk,agency,50,9,3,4,1,34,20,8
1328, Sokol ,130000,11,walk,agency,0,20,16,23,3,120,75,12
1329, Studencheskaia ,130000,10,walk,agency,30,16,8,12,3,63,48,6
1330,No data,38000,0,walk,agency,50,21,8,12,1,38,20,8
1331, Filatov Lug ,30000,56,transport,agency,80,18,1,5,2,45,32,6
1332, Akademicheskaia ,70000,18,walk,agency,35,19,3,6,2,55,34,10
1333,No data,65000,0,walk,agency,50,18,13,17,1,38,20,10
1334,No data,50000,0,walk,agency,50,24,9,14,2,58,33,9
1335, Seligerskaia ,47000,10,transport,agency,100,35,21,24,1,40,20,12
1336, Okskaia ,50000,11,walk,agency,70,20,10,15,3,73,48,14
1337, Bulvar Admirala Ushakova ,33000,7,walk,agency,60,26,9,17,1,40,19,9
1338, Lefortovo ,100000,10,walk,agency,30,24,6,9,3,62,39,10
1339, Timiriazevskaia ,60000,12,walk,agency,50,16,14,16,1,35,20,9
1340, Dubrovka ,70000,4,walk,agency,50,17,4,10,2,57,36,10
1341, Rasskazovka ,50000,19,transport,agency,60,11,10,13,3,76,50,14
1342, Dinamo ,50000,5,walk,agency,50,9,6,12,1,33,18,6
1343, Preobrazhenskaia ploshchad ,37000,11,walk,agency,70,9,2,9,1,33,19,7
1344,No data,45000,0,walk,agency,50,17,3,5,2,44,27,6
1345, Fonvizinskaia ,45000,3,walk,agency,50,20,10,25,1,25,18,5
1346, Bulvar Admirala Ushakova ,37000,13,walk,agency,50,19,3,14,1,35,20,9
1347, Rechnoi vokzal ,50000,22,walk,agency,60,12,4,9,2,44,28,6
1348, Salarevo ,60000,8,transport,agency,50,22,19,21,1,38,20,10
1349,No data,43000,0,transport,agency,60,6,4,5,1,32,18,6
1350, Kommunarka ,45000,11,walk,agency,60,7,7,15,2,58,35,11
1351, Novogireevo ,50000,11,walk,agency,50,20,3,5,3,55,44,6
1352, Oktiabrskaia ,50000,3,walk,agency,60,9,9,9,2,36,23,8
1353, Ulitca Akademika Iangelia ,48000,9,transport,agency,70,15,9,9,3,49,35,6
1354, Skhodnenskaia ,50000,10,transport,agency,50,15,15,17,3,73,46,10
1355, Krestianskaia zastava ,40000,4,walk,agency,50,21,2,5,1,54,19,8
1356, Belorusskaia ,45000,10,walk,agency,50,12,3,9,2,44,26,6
1357, Sviblovo ,43000,9,walk,agency,50,14,16,17,1,40,20,8
1358, Dinamo ,110000,8,walk,agency,50,17,13,15,2,44,27,8
1359, Kuntcevskaia ,50000,18,walk,agency,60,19,14,17,2,51,32,9
1360, Chistye prudy ,135000,7,walk,agency,0,5,5,9,3,65,44,6
1361, Bratislavskaia ,31000,10,transport,agency,50,16,3,17,1,38,19,9
1362, Shchukinskaia ,50000,9,walk,agency,50,21,7,12,2,46,32,9
1363, Iasenevo ,40000,8,walk,agency,70,19,8,9,1,38,18,8
1364, Kommunarka ,40000,11,walk,agency,100,11,10,15,1,33,14,10
1365, Rasskazovka ,50000,10,transport,agency,70,9,12,17,2,62,38,13
1366, Iasenevo ,40000,13,walk,agency,80,19,2,9,2,42,28,6
1367, Salarevo ,40000,7,transport,agency,60,16,16,25,1,37,16,10
1368, Kievskaia ,110000,10,walk,agency,0,10,5,10,3,75,49,9
1369, Park kultury ,100000,6,walk,agency,0,8,7,7,2,70,40,7
1370, Oktiabrskaia ,145000,6,walk,agency,0,5,4,7,2,55,30,18
1371, Rasskazovka ,65000,13,walk,agency,60,5,4,20,2,64,32,12
1372, Begovaia ,130000,6,walk,agency,0,19,30,32,2,71,38,9
1373, Olkhovaia ,33000,26,transport,agency,60,6,7,15,1,37,16,10
1374, Alekseevskaia ,60000,5,walk,agency,70,8,5,12,1,40,20,10
1375, Belorusskaia ,50000,7,walk,agency,50,18,7,8,1,32,18,6
1376, Bittcevskii park ,37000,18,walk,agency,70,11,1,9,1,45,18,6
1377,No data,70000,0,walk,agency,50,15,6,7,1,31,18,5
1378, Liublino ,45000,12,transport,agency,50,13,2,8,2,58,31,12
1379,No data,50000,0,transport,agency,40,5,3,9,2,50,30,7
1380, Bittcevskii park ,37000,18,walk,agency,70,11,1,9,1,45,18,6
1381,No data,70000,0,walk,agency,50,15,6,7,1,31,18,5
1382, Fonvizinskaia ,35000,16,walk,agency,60,9,4,9,1,31,21,5
1383, Taganskaia ,70000,7,walk,agency,0,18,14,16,2,54,30,11
1384,No data,40000,0,walk,agency,70,8,7,8,1,33,20,6
1385, Mitino ,45000,9,walk,agency,50,14,1,17,1,36,18,9
1386, Medvedkovo ,33000,10,walk,agency,50,8,10,14,1,35,19,10
1387,No data,30000,0,walk,agency,50,5,9,9,1,25,15,6
1388, Annino ,65000,10,walk,agency,60,16,6,15,2,55,28,20
1389, Filatov Lug ,65000,6,walk,agency,50,5,12,15,3,80,57,17
1390, Serpukhovskaia ,100000,6,walk,agency,0,4,2,7,3,80,54,12
1391, Narodnoe Opolchenie ,48000,18,walk,agency,50,14,15,17,1,38,18,9
1392,No data,58000,0,walk,agency,50,13,9,25,2,68,36,11
1393, Bratislavskaia ,40000,3,transport,agency,70,2,8,12,1,41,20,10
1394, Oktiabrskoe pole ,50000,4,walk,agency,50,5,2,9,2,47,35,6
1395, Tulskaia ,110000,19,walk,agency,50,7,13,14,2,44,28,10
1396, Filatov Lug ,40000,20,transport,agency,80,15,3,16,2,54,28,20
1397, Novoperedelkino ,48000,13,walk,agency,50,9,10,14,2,54,36,12
1398, Bratislavskaia ,47000,21,walk,agency,50,12,15,25,1,36,16,11
1399, Babushkinskaia ,44000,13,transport,owner,0,25,4,5,2,64,64,64
1400, Oktiabrskaia ,130000,9,walk,agency,20,0,4,7,1,64,18,28
1401, Oktiabrskaia ,130000,9,walk,agency,20,3,4,7,2,64,38,12
1402, Izmailovskaia ,60000,9,walk,agency,50,4,14,28,2,54,30,13
1403, Slavianskii bulvar ,50000,6,transport,agency,50,3,13,17,2,4,27,6
1404, Kommunarka ,40000,14,transport,developer,50,40,2,11,1,45,20,15
1405,No data,65000,0,transport,developer,50,23,11,12,1,35,19,8
1406,No data,47000,0,transport,developer,50,29,14,24,1,48,22,11
1407, Vykhino ,45000,10,walk,developer,60,28,7,9,2,45,30,6
1408,No data,70000,0,walk,developer,50,5,12,17,2,75,45,12
1409, Ulitca 1905 goda ,100000,18,walk,developer,50,10,6,22,+,40,20,10
1410, Medvedkovo ,50000,11,transport,developer,50,24,5,22,1,44,21,11
1411, Sokolniki ,50000,16,walk,developer,0,26,2,6,1,32,18,8
1412, Belomorskaia ,43000,12,walk,owner,0,20,18,19,1,45,20,12
1413, Okruzhnaia ,39000,10,walk,owner,0,5,2,5,1,64,64,64
1414, Bibirevo ,52000,8,walk,developer,50,14,5,12,2,47,32,8
1415, Babushkinskaia ,29500,10,transport,developer,50,12,13,14,1,37,19,7
1416,No data,99999,0,transport,developer,0,29,1,5,7,64,64,64
1417, Shelepikha ,130000,14,walk,developer,25,11,12,48,2,64,64,64
1418, Kuzminki ,40000,15,walk,developer,50,21,1,5,1,33,18,6
1419,No data,63000,0,walk,owner,0,18,19,25,+,64,64,64
1420,No data,40000,0,walk,developer,50,22,2,12,1,40,20,10
1421, Belomorskaia ,43000,15,transport,developer,25,25,4,9,3,60,42,6
1422, Timiriazevskaia ,44000,8,walk,agency,0,20,5,9,1,64,64,64
1423, Babushkinskaia ,50000,14,transport,developer,60,20,7,11,1,64,64,64
1424, Aeroport ,130000,15,walk,developer,50,40,11,22,2,64,64,64
1425, Dinamo ,150000,16,walk,developer,0,0,7,19,3,64,64,64
1426, Preobrazhenskaia ploshchad ,41000,14,walk,developer,30,20,3,12,1,38,19,8
1427,No data,52600,0,walk,agency,50,28,13,17,2,64,64,64
1428, Prazhskaia ,41400,11,walk,agency,50,15,9,22,1,5,20,10
1429, Kuzminki ,46800,13,walk,agency,50,22,3,9,2,3,30,5
1430, Buninskaia Alleia ,36800,23,transport,agency,50,18,9,9,1,9,11,22
1431, Filatov Lug ,44000,6,walk,agency,50,36,6,15,1,6,11,6
1432,No data,45000,0,walk,agency,50,29,1,3,2,64,64,64
1433,No data,103200,0,walk,agency,20,5,2,14,3,8,43,14
1434,No data,74300,0,walk,agency,20,32,10,14,1,64,64,64
1435, Ulitca Skobelevskaia ,59000,13,walk,agency,50,76,18,33,3,8,34,10
1436, Salarevo ,67100,15,walk,agency,50,27,9,15,2,1,40,10
1437, Petrovskii park ,51900,7,transport,agency,50,0,10,16,3,64,64,64
1438, Olkhovaia ,31200,26,transport,agency,50,6,5,15,1,6,15,10
1439, Buninskaia Alleia ,36800,23,transport,agency,50,18,9,9,1,9,11,22
1440, Okskaia ,59700,19,walk,agency,50,26,9,25,2,3,40,12
1441, Salarevo ,52600,28,transport,agency,50,13,6,17,2,59,31,13
1442, Olkhovaia ,52600,16,transport,agency,50,11,17,17,1,7,13,20
1443, Botanicheskii sad ,51900,13,transport,agency,50,23,14,16,1,36,13,18
1444, Filatov Lug ,59000,5,walk,agency,50,20,5,15,2,57,21,20
1445, Buninskaia Alleia ,37300,19,transport,agency,50,38,7,9,1,7,10,17
